date,time_et,agent,status,items,pr,notes
2026-09-08,12:35,rebuild,blocked,0,1,AA_API_KEY not set
2026-09-09,12:35,rebuild,blocked,0,2,AA_API_KEY not set
2026-09-10,12:21,rebuild,blocked,0,3,AA_API_KEY not set
2026-09-10,13:08,rebuild,partial,0,4,numbers carried forward (--no-fetch)
2026-09-10,13:23,rebuild,partial,6,5,gdpval carried forward; tau carried forward; omni carried forward; nohalluc carried forward; gdppdf
2026-09-10,13:54,rebuild,partial,7,6,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-10,14:56,rebuild,partial,7,8,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-10,14:57,rebuild,partial,7,9,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-10,17:47,rebuild,partial,7,10,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-10,17:51,rebuild,partial,7,11,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-11,09:06,rebuild,partial,7,12,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-11,09:07,rebuild,partial,7,13,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-11,12:25,rebuild,partial,7,14,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-12,09:15,rebuild,partial,7,16,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-12,09:16,rebuild,partial,7,15,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-12,11:29,rebuild,partial,7,17,gdpval carried forward; omni carried forward; nohalluc carried forward; gdppdf carried forward; web
2026-09-12,20:39,rebuild,partial,11,18,cost missing or carried forward; gdppdf carried forward
2026-09-12,21:13,rebuild,partial,11,19,cost missing or carried forward; gdppdf carried forward
2026-09-13,09:08,rebuild,partial,11,20,cost missing or carried forward; gdppdf carried forward
2026-09-13,09:09,rebuild,partial,11,21,cost missing or carried forward; gdppdf carried forward
2026-09-13,12:13,rebuild,partial,11,22,cost missing or carried forward; gdppdf carried forward
2026-09-14,09:09,rebuild,partial,11,23,cost missing or carried forward; gdppdf carried forward
